param : ol:  R       X Imax :=
#          ohm     ohm    A
 2   3  0.0922  0.0470  200
 3   4  0.4930  0.2511  200
 4   5  0.3660  0.1864  200
 5   6  0.3811  0.1941  200
 6   7  0.8190  0.7070  200
 7   8  0.1872  0.6188  200
 9  10  0.7114  0.2351  200
10  11  10.300  0.7400  200
11  13  10.440  0.7400  200
13  14  0.1966  0.0650  200
14  15  0.3744  0.1238  200
15  16  14.680  11.550  200
17  18  0.5416  0.7129  200
18  19  0.5910  0.5260  200
19  20  0.7463  0.5450  200
20  21  12.890  17.210  200
21  22  0.7320  0.5740  200
 3  23  0.1640  0.1565  200
24  25  15.042  13.554  200
25  26  0.4095  0.4784  200
26  27  0.7089  0.9373  200
 4  30  0.4512  0.3083  200
31  32  0.8980  0.7091  200
32  33  0.8960  0.7011  200
 7  35  0.2030  0.1034  200
36  37  0.2842  0.1447  200
37  38  10.590  0.9337  200
38  39  0.8042  0.7006  200
39  40  0.5075  0.2585  200
41  42  0.9744  0.9630  200
42  43  0.3105  0.3619  200
43  44  0.3410  0.5302  200
10  28  20.000  20.000  200
12  19  20.000  20.000  200
18  29  20.000  20.000  200
22  45  0.5000  0.5000  200
34  39  0.5000  0.5000  200
;

param : och: ei Imaxch:=
#                    A
 1    2       1    500
 8    9       1    500
11   12       0    500
16   17       1    500
23   24       1    500
26   28       0    500
27   29       0    500
30   31       1    500
33   34       0    500
35   36       1    500
40   41       1    500
44   45       0    500
;

param : ob : Tb      PD      QD:=
# Tb=1:SE,           kW    kVar
2    0   0.001   0.001
3    0    30.0    10.0
4    0    30.0    10.0
5    0    40.0    15.0
6    0    20.0    10.0
7    0    20.0     5.0
8    0    60.0    30.0
9    0   0.001   0.001
10   0    60.0    30.0
11   0    20.0     5.0
12   0   0.001   0.001
13   0    20.0     5.0
14   0    15.0    10.0
15   0    20.0    10.0
16   0   0.001   0.001
17   0    20.0    10.0
18   0    40.0    15.0
19   0    20.0     5.0
20   0    20.0     5.0
21   0    20.0     5.0
22   0    30.0    10.0
23   0   0.001   0.001
24   0    30.0    10.0
25   0    30.0    10.0
26   0    30.0    10.0
27   0    30.0    10.0
28   0   0.001   0.001
29   0   0.001   0.001
30   0    30.0    10.0
31   0   0.001   0.001
32   0   140.0    60.0
33   0   140.0    60.0
34   0   0.001   0.001
35   0    20.0     5.0
36   0   0.001   0.001
37   0    20.0     5.0
38   0    20.0     5.0
39   0    40.0    15.0
40   0    60.0    30.0
41   0   0.001   0.001
42   0    50.0    10.0
43   0    70.0    30.0
44   0    20.0     5.0
45   0   0.001   0.001
;

let Vnom := 13.8 / sqrt(3) ; #kV
let Vmax := Vnom * 1.05 ; #kV
let Vmin := Vnom * 0.93 ; #kV
let  cls := 1; #US/kWh


